Beer Type,Num of Ratings
Altbier,11878
Barleywine - American,73855
Barleywine - English,37734
Bitter - English,11495
Bitter - English Extra Special / Strong Bitter (ESB),13954
Bière de Champagne / Bière Brut,1765
Blonde Ale - American,44790
Blonde Ale - Belgian,4179
Bock - Doppelbock,16527
Bock - Eisbock,1953
Bock - Maibock,23797
Bock - Traditional,21803
Bock - Weizenbock,7738
Braggot,2436
Brett Beer,15495
Brown Ale - American,108358
Brown Ale - Belgian Dark,3545
Brown Ale - English,26513
California Common / Steam Beer,3582
Chile Beer,12833
Cream Ale,10047
Dubbel,16835
Farmhouse Ale - Bière de Garde,6966
Farmhouse Ale - Sahti,4449
Farmhouse Ale - Saison,204015
Fruit and Field Beer,103840
Gruit / Ancient Herbed Ale,2435
Happoshu,3
Herb and Spice Beer,35704
IPA - American,740172
IPA - Belgian,52264
IPA - Black / Cascadian Dark Ale,69755
IPA - Brut,2448
IPA - English,35569
IPA - Imperial,583379
IPA - New England,261129
India Pale Ales,2
Kvass,394
Kölsch,28066
Lager - Adjunct,32959
Lager - American,29353
Lager - American Amber / Red,15866
Lager - European / Dortmunder Export,7493
Lager - European Dark,2692
Lager - European Pale,1664
Lager - European Strong,112
Lager - Helles,14351
Lager - India Pale Lager (IPL),16035
Lager - Japanese Rice,586
Lager - Kellerbier / Zwickelbier,5894
Lager - Light,48918
Lager - Malt Liquor,9800
Lager - Munich Dunkel,5193
Lager - Märzen / Oktoberfest,51254
Lager - Rauchbier,6370
Lager - Schwarzbier,20464
Lager - Vienna,21761
Lambic - Faro,42
Lambic - Fruit,6483
Lambic - Gueuze,2016
Lambic - Traditional,440
Low Alcohol Beer,2192
Mild Ale - English Dark,5843
Mild Ale - English Pale,915
Old Ale,28564
Pale Ale - American,317883
Pale Ale - Belgian,22461
Pale Ale - English,13617
Pilsner - Bohemian / Czech,35663
Pilsner - German,36373
Pilsner - Imperial,16548
Porter - American,124595
Porter - Baltic,23760
Porter - English,6768
Porter - Imperial,61581
Porter - Robust,24847
Porter - Smoked,22755
Pumpkin Beer,69519
Quadrupel (Quad),29357
Red Ale - American Amber / Red,77999
Red Ale - Imperial,27679
Red Ale - Irish,17505
Rye Beer,32648
Rye Beer - Roggenbier,934
Scotch Ale / Wee Heavy,59670
Scottish Ale,15698
Smoked Beer,10969
Sour - Berliner Weisse,45028
Sour - Flanders Oud Bruin,11912
Sour - Flanders Red Ale,7309
Sour - Fruited Kettle Sour,31359
Sour - Gose,27238
Stout - American,85846
Stout - American Imperial,502795
Stout - English,5895
Stout - Foreign / Export,4917
Stout - Irish Dry,9601
Stout - Oatmeal,68801
Stout - Russian Imperial,151668
Stout - Sweet / Milk,85572
Strong Ale - American,52144
Strong Ale - Belgian Dark,41692
Strong Ale - Belgian Pale,38460
Strong Ale - English,7172
Tripel,38847
Wheat Beer - American Dark,4531
Wheat Beer - American Pale,72520
Wheat Beer - Dunkelweizen,5194
Wheat Beer - Hefeweizen,31659
Wheat Beer - Kristallweizen,492
Wheat Beer - Wheatwine,14584
Wheat Beer - Witbier,77928
Wild Ale,152932
Wild/Sour Beers,9
Winter Warmer,35138
